what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262275925
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262276053
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262298185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262345617
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1304262347847
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1304262348215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262364714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262368662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262403183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262452114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1304262540052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304262545485
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262546999
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262632671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304262636092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304262638539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262641391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262646539
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262647813
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262653568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262664169
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262687693
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262688571
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262697461
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262700295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304262729239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304262782627
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304262799998
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262808549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304262818892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304262830523
