what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304729642856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304729643486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304729963554
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1304729964768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304729990939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730025109
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304730028009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304730036335
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730039802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730273330
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304730275075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304730314469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730315140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730593162
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304730758463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730795763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730817828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730851389
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730884712
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304730886474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304730910229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304730915962
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304730935000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730938661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304730976536
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304730977829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304731032364
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304731039621
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304731061568
