what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1303277456141
locale,sysinfo,,,"et_EE",1303277456141
processors,sysinfo,,,"4",1303277456142
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303277456142
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1303277456142
java.specification.name,sysinfo,,,"Java Platform API Specification",1303277456142
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303277456142
java.specification.version,sysinfo,,,"1.6",1303277456142
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303277456142
java.version,sysinfo,,,"1.6.0_17",1303277456142
java.vm.info,sysinfo,,,"mixed mode",1303277456142
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1303277456142
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303277456142
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303277456142
java.vm.specification.version,sysinfo,,,"1.0",1303277456142
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303277456142
java.vm.version,sysinfo,,,"14.3-b01",1303277456142
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1303277456221
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1303277456223
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1303277456318
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1303277456365
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1303277456637
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1303277456976
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1303277457021
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1303277481124
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1303277481167
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1303277481504
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1303277481898
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1303277481900
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1303277482268
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1303277482335
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1303277482417
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1303277482483
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303277487750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303277595012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277599715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277601534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277603044
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277604631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277607658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277609474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277612022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303277624668
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1303277624837
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1303277624879
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1303277624886
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1303277625021
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1303277625113
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1303277625136
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1303277625142
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1303277625260
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1303277625263
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1303277682534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303277683159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303277838526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303277841097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303277846220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303277855019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278061987
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1303278083310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303278085023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278086465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278087123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278102414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278134170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278152305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1303278175975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303278181147
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278183536
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278230016
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278262554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278263232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278294905
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1303278296649
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1303278332913
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1303278333081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278335458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278339036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278344250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278350254
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1303278350632
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1303278350761
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278354374
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278354476
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278355823
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278389658
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278389741
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278390376
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278390377
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278391467
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278391682
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278392359
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278392359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278401961
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278465195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278469926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278485713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278505327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278529349
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278646064
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278647073
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278647159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278655158
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303278657153
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278669789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1303278735587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303278740159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278762940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278799857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278815462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278823755
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278827779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278832149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278835395
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278836312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278839125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278839480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278850869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278924075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278925790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278933048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278941137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1303278950997
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1303278961333
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303278966292
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278973881
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303278990442
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303278993760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279110829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279128363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279130187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303279149528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279182569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279193319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1303279201213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303279203669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303279218504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303279219421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281199909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281263672
