what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1304362308819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362316660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362316923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304362319491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1304362336947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362340859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362365257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304362372224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304362376486
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304362379187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362386009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362407279
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304362409262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304362433699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362437442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362453205
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1304362455893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1304362461741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304362466243
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304362467752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304362476109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362476735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304362624574
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304362626547
