what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304895670270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304895672052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304895681610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304895686487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304895771329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304895771364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304895799432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304895815235
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304895907013
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1304895922940
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304895926838
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304895927752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304895931820
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304895934459
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304895999761
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304896042055
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304896103024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304896111856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304896118214
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304896120417
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304896126827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1304896129575
