what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/doc/doc_de.html'.",1303281370822
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/doc/doc_el.html'.",1303281370824
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/doc/doc_en.html'.",1303281370825
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/doc/doc_jp.html'.",1303281370826
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/examples.php'.",1303281370827
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/index.php'.",1303281370828
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/license.html'.",1303281370829
error,log,,,"Resource is out of sync with the file system: '/r1/activecalendar/readme.txt'.",1303281370831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281381582
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281385698
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281385773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281385870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1303281388663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303281389706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303281393155
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281394803
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281397695
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281469192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1303281472965
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281473929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1303281474903
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303281477594
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281478697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303281482940
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281484072
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281484072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281488117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281491022
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1303281493856
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1303281494866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281497726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303281541268
