what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304517010930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517011708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517032338
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304517033523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517091770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517098966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304517117126
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517117638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304517312105
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304519340786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304520721310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304522296878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525121550
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304525163673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525165524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525199724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525229528
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525255284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1304525338802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525340698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1304525368697
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304525370010
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304525371885
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304525416379
