what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204532888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204539716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204540606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1303204542421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204545364
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204550960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204554980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204562703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204647516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204703551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204705853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204730039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204749068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204859545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303204880981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303205080276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303205121148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303206328687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303206330783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303211235914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303211236743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1303211238142
