what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1304935890171
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1304935890195
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1304935890207
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1304935890212
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1304935890234
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1304935890270
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1304935890338
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1304935890408
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1304935890442
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1304935890450
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1304935890499
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1304935890524
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1304935890524
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1304935890546
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1304935890568
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1304935890603
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1304935890679
os,sysinfo,,,"win32",1304935890683
arch,sysinfo,,,"x86_64",1304935890683
ws,sysinfo,,,"win32",1304935890683
locale,sysinfo,,,"et_EE",1304935890683
processors,sysinfo,,,"4",1304935890683
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304935890683
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1304935890683
java.specification.name,sysinfo,,,"Java Platform API Specification",1304935890683
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304935890683
java.specification.version,sysinfo,,,"1.6",1304935890683
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304935890683
java.version,sysinfo,,,"1.6.0_17",1304935890683
java.vm.info,sysinfo,,,"mixed mode",1304935890683
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304935890683
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304935890683
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304935890683
java.vm.specification.version,sysinfo,,,"1.0",1304935890683
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304935890683
java.vm.version,sysinfo,,,"14.3-b01",1304935890683
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1304935890787
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1304935891041
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304935891062
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1304935891069
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304935899305
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1304935899472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1304935937758
